src_mode,build_period,arch_design,house_type,stories,area_sqft,rel_head,gender,edu_attendance,occupation,food_exp,nonfood_exp,wall_material,vent_raw,roof_type,red_notices,pay_practice,wiring_pro,gen_raw,solar_raw,billknow_raw,iron_raw,nightlight_raw,metercheck_raw,enrating_raw,district,total_exp,area_per_story,any_red_notice,province,vent_glassroof,vent_glasswall,vent_other,vent_pergola,vent_window,vent_count,vent_reported,gen_grid,gen_hydro,gen_othergreen,gen_solar,gen_count,gen_none,uses_renewable,solar_agri,solar_car,solar_cooking,solar_other,solar_outdoor,solar_water,solar_purpose_count,solar_user,eci_billknow,eci_billknow_norm,eci_iron,eci_iron_norm,eci_nightlight,eci_nightlight_norm,eci_metercheck,eci_metercheck_norm,eci_enrating,eci_enrating_norm,eci_raw_sum,eci,eci_band
Online,2010 - 2019,The house was designed by a certified architect,Single House -Double Floor,1.0,2100.0,Wife/Husband,Female,University,Professional,45000.0,40000.0,Brick,Window walls (the wall is covered more than 80% by windows),Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,LECO/ CEB described to me how the bill is calculated,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Matara,85000.0,2100.0,0,Southern,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,2,0.5,1,0.5,3,1.0,1,1.0,9,80.0,High
Online,Before 1980,I am not aware of it,Single House - Single Floor,1.0,,Son/daughter,Male,University,Professional,60000.0,100000.0,Cement Block,,Asbestos,0,I try to pay the exact amount in the bill (ex: 4566),I am not aware of it,Electricity grid power,Not using solar energy,I got to know through the media,We iron the cloths daily,We keep less than two-night lights on when sleeping,Never,No,Gampaha,160000.0,,0,Western,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.0,1,0.5,0,0.0,0,0.0,2,20.0,Low
Online,1990 - 1999,No such professional designing was done; the house was designed to suit our needs and wants,Single House -Double Floor,2.0,4000.0,Son/daughter,Male,Does not attend,Professional,50000.0,100000.0,Cement Block,,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,One of my family members taught me how the bill is calculated,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Kurunegala,150000.0,2000.0,0,North Western,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1.0,1,0.25,1,0.5,3,1.0,1,1.0,8,75.0,High
Online,1990 - 1999,"House was not specifically designed by an architect, but the plan was inspected by a certified architect/engineer",Single House -Double Floor,2.0,2600.0,Son/daughter,Female,Does not attend,Professional,35000.0,150000.0,Brick,Transparent roofing parts,Tile,0,I try to pay a rounded-off amount which is mostly lower than the bill (ex: 4500),Yes,Electricity grid power,Not using solar energy,I got to know through another mean,We iron when and where the need arises,We keep less than two-night lights on when sleeping,"Yes, every month",Yes,Matara,185000.0,1300.0,0,Southern,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,1,0.25,1,0.5,3,1.0,1,1.0,7,65.0,Medium
Online,2010 - 2019,The house was designed by a certified architect,Single House - Single Floor,1.0,2000.0,Head of the household,Male,University,"Legislator, senior official, and manager",40000.0,20000.0,Cement Block,,Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Electricity grid power,Not using solar energy,I got to know through the media,We iron the cloths daily,We keep less than two-night lights on when sleeping,Never,Yes,Gampaha,60000.0,2000.0,0,Western,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0.0,1,0.5,0,0.0,1,1.0,3,40.0,Low
Online,2010 - 2019,House was designed barely to pass the statutory requirements of the local authorities,Single House -Double Floor,2.0,2000.0,Head of the household,Male,University,Professional,150000.0,150000.0,Cement Block,Window walls (the wall is covered more than 80% by windows),Concrete,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,"Electricity grid power, Solar Energy","Water heating, Outdoor lighting, Cooking",I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Colombo,300000.0,1000.0,0,Western,0,0,0,0,1,1,1,1,0,0,1,2,0,1,0,0,1,0,1,1,3,1,2,1.0,2,0.5,1,0.5,2,0.6666666666666666,1,1.0,8,73.33333333333333,High
Online,Before 1980,No such professional designing was done; the house was designed to suit our needs and wants,Single House - Single Floor,1.0,650.0,Another relative,Male,School,Technician and associate professional,100000.0,100000.0,Brick,Transparent walls (clear glass/ semi-transparent glass),Tile,12,I try to pay a portion of my bill amount that is possible for me (ex: 3500),Yes,Electricity grid power,Not using solar energy,I am not aware of how the bill is calculated,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, every month",No,Gampaha,200000.0,650.0,1,Western,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0.25,2,1.0,3,1.0,0,0.0,6,45.0,Low
Online,1990 - 1999,The house was designed by a certified architect,Single House - Single Floor,1.0,4000.0,Son/daughter,Male,University,Professional,30000.0,30000.0,Brick,,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,Yes,Mini Hydropower,Not using solar energy,I got to know through the media,We iron when and where the need arises,We keep more than two lights on when sleeping,"Yes, some of the months",Yes,Kalutara,60000.0,4000.0,0,Western,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0.5,1,0.25,0,0.0,2,0.6666666666666666,1,1.0,5,48.33333333333333,Low
Online,2010 - 2019,The house was designed by a certified architect,Single House -Double Floor,2.0,4000.0,Other,Female,Does not attend,Professional,50000.0,30000.0,Cement Block,"Transparent walls (clear glass/ semi-transparent glass), Window walls (the wall is covered more than 80% by windows)",Asbestos,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,I am not aware of it,None of the above,Other,I got to know through the media,We iron when and where the need arises,We don’t keep any of the lights on when sleeping,"Yes, some of the months",Yes,Gampaha,80000.0,2000.0,0,Western,0,1,0,0,1,2,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,0.5,1,0.25,2,1.0,2,0.6666666666666666,1,1.0,7,68.33333333333333,High
Online,1980 - 1989,House was designed barely to pass the statutory requirements of the local authorities,Single House - Single Floor,1.0,200.0,Son/daughter,Male,University,Professional,40000.0,20000.0,Brick,Pergolas,Tile,0,I try to pay a rounded-off amount which will cover the whole bill amount (ex: 4600,I am not aware of it,None of the above,Not using solar energy,I learnt the calculation by reading the monthly bill,We iron our clothes twice a week,We keep less than two-night lights on when sleeping,"Yes, some of the months",Yes,Ampara,60000.0,200.0,0,Eastern,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.0,2,0.5,1,0.5,2,0.6666666666666666,1,1.0,8,73.33333333333333,High
