family,var_a,var_b,block,relation,test,effect,effect_size,ci_lo,ci_hi,p,q,n,rows,cols,min_expected,interpretation
categorical,Architectural design level,Ironing efficiency,dwelling~behaviour,substantive,chi2,cramers_v,0.0655,,,0.3727,0.8848,70,6.0,5.0,0.0429,negligible
categorical,Province,Ironing efficiency,context~behaviour,substantive,chi2,cramers_v,0.0564,,,0.3897,0.8848,70,6.0,5.0,0.0429,negligible
categorical,Roof type,Solar user,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.3898,0.8848,70,3.0,2.0,1.6,negligible
categorical,Main occupation,Solar user,demographic~energy,substantive,chi2,cramers_v,0.0234,,,0.3932,0.8848,70,5.0,2.0,0.2286,negligible
categorical,Architectural design level,Gender,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.41,0.8848,70,6.0,2.0,0.1857,negligible
categorical,House type,Night-lighting restraint,dwelling~behaviour,substantive,chi2,cramers_v,0.0291,,,0.4112,0.8848,70,5.0,3.0,0.0857,negligible
categorical,Relationship to head,Bill-calculation literacy,demographic~behaviour,substantive,chi2,cramers_v,0.0435,,,0.4117,0.8848,70,7.0,3.0,0.2,negligible
categorical,Construction period,Gender,dwelling~demographic,substantive,chi2,cramers_v,0.0,,,0.413,0.8848,70,6.0,2.0,1.1143,negligible
categorical,Bill-payment practice,Solar user,energy,substantive,chi2,cramers_v,0.0,,,0.4138,0.8848,70,4.0,2.0,1.6,negligible
categorical,Construction period,Meter-checking frequency,dwelling~behaviour,substantive,chi2,cramers_v,0.0363,,,0.4173,0.8848,70,6.0,4.0,1.2,negligible
categorical,Uses renewable source,Night-lighting restraint,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.4219,0.8848,70,2.0,3.0,1.0286,negligible
categorical,Bill-payment practice,Professional wiring,energy,substantive,chi2,cramers_v,0.0,,,0.4238,0.8848,70,4.0,3.0,0.3,negligible
categorical,Any disconnection notice,Night-lighting restraint,energy~behaviour,substantive,chi2,cramers_v,0.0,,,0.4317,0.8915,70,2.0,3.0,1.2,negligible
categorical,Construction period,Bill-payment practice,dwelling~energy,substantive,chi2,cramers_v,0.0,,,0.4527,0.9155,70,6.0,4.0,0.6,negligible
categorical,Main occupation,Bill-calculation literacy,demographic~behaviour,substantive,chi2,cramers_v,0.0,,,0.4659,0.9155,70,5.0,3.0,0.2,negligible
